District Name	District Code	Subject	M+E #	M+E %	E #	E %	M #	M %	PM #	PM %	NM #	NM %	No. of Students Included	Avg. Scaled Score	SGP	Included In SGP
Francis W. Parker Charter Essential (District)	04780000	MATH	          85	59	           6	4	          79	55	          53	37	           5	3	         143	     502.5	          35.6	         124
Franklin	01010000	ELA	       1,639	66	         322	13	       1,317	53	         729	29	         124	5	       2,492	     507.9	          52.8	       2,043
Franklin	01010000	MATH	       1,578	63	         274	11	       1,304	52	         786	32	         126	5	       2,490	     506.3	          50.2	       2,038
Freetown-Lakeville	06650000	ELA	         774	55	         100	7	         674	48	         533	38	          94	7	       1,401	     502.3	          50.1	       1,119
Freetown-Lakeville	06650000	MATH	         793	57	         101	7	         692	49	         505	36	         100	7	       1,398	     502.6	          52.2	       1,117
Frontier	06700000	ELA	          88	40	          13	6	          75	34	         110	50	          24	11	         222	     494.6	          41.0	         210
Frontier	06700000	MATH	         106	48	           9	4	          97	44	          98	45	          16	7	         220	     498.5	          47.4	         209
Gardner	01030000	ELA	         278	26	          17	2	         261	24	         582	54	         227	21	       1,087	     487.5	          44.2	         821
Gardner	01030000	MATH	         274	25	          12	1	         262	24	         566	52	         245	23	       1,085	     486.1	          52.9	         819
Gateway	06720000	ELA	         189	47	          26	7	         163	41	         182	46	          29	7	         400	     499.5	          47.0	         306
Gateway	06720000	MATH	         158	40	          12	3	         146	37	         209	52	          33	8	         400	     495.6	          48.1	         305
Georgetown	01050000	ELA	         378	60	          66	11	         312	50	         218	35	          32	5	         628	     504.7	          49.3	         523
Georgetown	01050000	MATH	         332	53	          31	5	         301	48	         246	39	          51	8	         629	     499.6	          43.2	         524
Gill-Montague	06740000	ELA	         166	35	          17	4	         149	32	         235	50	          72	15	         473	     493.0	          49.9	         371
Gill-Montague	06740000	MATH	         111	23	           5	1	         106	22	         268	56	         100	21	         479	     486.2	          50.8	         371
Global Learning Charter Public (District)	04960000	ELA	         107	30	           6	2	         101	29	         200	57	          45	13	         352	     491.0	          45.3	         339
Global Learning Charter Public (District)	04960000	MATH	         115	33	           7	2	         108	31	         202	57	          35	10	         352	     491.9	          43.6	         339
Gloucester	01070000	ELA	         630	47	          90	7	         540	40	         558	42	         147	11	       1,335	     498.9	          48.2	       1,048
Gloucester	01070000	MATH	         591	44	          83	6	         508	38	         578	43	         163	12	       1,332	     496.7	          50.9	       1,045
Grafton	01100000	ELA	         986	64	         158	10	         828	54	         481	31	          79	5	       1,546	     506.4	          50.4	       1,211
Grafton	01100000	MATH	         928	60	         158	10	         770	50	         510	33	         104	7	       1,542	     505.0	          53.2	       1,208
Granby	01110000	ELA	         153	48	          13	4	         140	44	         140	44	          26	8	         319	     498.0	          45.9	         268
Granby	01110000	MATH	         144	45	           4	1	         140	43	         158	49	          20	6	         322	     496.0	          47.1	         268
Greater Commonwealth Virtual District	39010000	ELA	          73	26	           7	3	          66	24	         155	55	          52	19	         280	     488.7	          43.2	         180
Greater Commonwealth Virtual District	39010000	MATH	          54	19	           3	1	          51	18	         145	51	          85	30	         284	     481.6	          42.9	         178
Greenfield	01140000	ELA	         312	39	          24	3	         288	36	         384	47	         113	14	         809	     494.3	          46.1	         608
Greenfield	01140000	MATH	         247	30	          20	2	         227	28	         412	50	         157	19	         816	     489.0	          42.4	         610
Groton-Dunstable	06730000	ELA	         695	62	         130	12	         565	50	         376	33	          56	5	       1,127	     506.1	          46.0	         885
Groton-Dunstable	06730000	MATH	         744	66	         129	11	         615	55	         346	31	          35	3	       1,125	     508.0	          55.2	         883
Hadley	01170000	ELA	         142	56	          26	10	         116	46	          92	37	          18	7	         252	     503.9	          54.3	         215
Hadley	01170000	MATH	         120	48	          12	5	         108	43	         107	42	          25	10	         252	     498.0	          47.0	         215
Halifax	01180000	ELA	         198	57	          30	9	         168	49	         128	37	          20	6	         346	     503.2	          49.8	         255
Halifax	01180000	MATH	         201	58	          30	9	         171	50	         125	36	          19	6	         345	     503.5	          55.7	         253
Hamilton-Wenham	06750000	ELA	         577	72	         144	18	         433	54	         196	24	          30	4	         803	     511.8	          57.1	         619
Hamilton-Wenham	06750000	MATH	         506	63	          69	9	         437	54	         267	33	          32	4	         805	     506.0	          48.8	         620
Hampden Charter School of Science East (District)	04990000	ELA	         132	48	          11	4	         121	44	         117	43	          26	9	         275	     498.4	          45.3	         249
Hampden Charter School of Science East (District)	04990000	MATH	         138	50	          20	7	         118	43	         119	43	          18	7	         275	     499.1	          42.0	         249
Hampden-Wilbraham	06800000	ELA	         793	59	         121	9	         672	50	         500	37	          58	4	       1,351	     504.7	          48.0	       1,082
Hampden-Wilbraham	06800000	MATH	         694	51	          61	5	         633	47	         581	43	          78	6	       1,353	     500.6	          47.6	       1,085
Hampshire	06830000	ELA	         146	53	          17	6	         129	47	         103	37	          28	10	         277	     500.2	          48.4	         262
Hampshire	06830000	MATH	         123	44	          16	6	         107	39	         138	50	          16	6	         277	     498.6	          40.8	         262
Hancock	01210000	ELA	          14	67	           1	5	          13	62	           7	33	           0	0	          21	     504.8		          16
Hancock	01210000	MATH	          11	52	           0	0	          11	52	           9	43	           1	5	          21	     499.0		          16
Hanover	01220000	ELA	         739	61	         142	12	         597	50	         402	33	          64	5	       1,205	     505.8	          50.2	         979
Hanover	01220000	MATH	         698	58	          88	7	         610	51	         441	37	          67	6	       1,206	     503.5	          52.5	         979
Harvard	01250000	ELA	         369	75	          92	19	         277	56	         102	21	          23	5	         494	     512.7	          59.1	         394
Harvard	01250000	MATH	         346	70	          63	13	         283	58	         124	25	          22	4	         492	     508.6	          49.2	         395
Hatfield	01270000	ELA	         121	55	          11	5	         110	50	          88	40	          12	5	         221	     502.2	          48.5	         180
Hatfield	01270000	MATH	         123	56	           5	2	         118	54	          85	39	          12	5	         220	     500.5	          63.5	         179
Haverhill	01280000	ELA	       1,341	36	         145	4	       1,196	32	       1,740	47	         614	17	       3,695	     493.4	          46.3	       2,744
Haverhill	01280000	MATH	       1,221	33	         160	4	       1,061	29	       1,772	48	         697	19	       3,690	     491.6	          48.6	       2,742
Hawlemont	06850000	ELA	          26	39	           1	1	          25	37	          35	52	           6	9	          67	     495.7	          36.2	          47
Hawlemont	06850000	MATH	          21	30	           1	1	          20	29	          39	57	           9	13	          69	     491.0	          38.4	          45
Helen Y. Davis Leadership Academy Charter Public (District)	04190000	ELA	          39	18	           4	2	          35	16	         100	47	          76	35	         215	     481.0	          31.0	         174
Helen Y. Davis Leadership Academy Charter Public (District)	04190000	MATH	          32	15	           3	1	          29	14	         115	54	          65	31	         212	     480.7	          39.5	         174
Hill View Montessori Charter Public (District)	04550000	ELA	          87	45	           5	3	          82	42	         101	52	           6	3	         194	     499.5	          50.4	         158
Hill View Montessori Charter Public (District)	04550000	MATH	          44	23	           1	1	          43	22	         124	64	          26	13	         194	     488.1	          42.0	         158
Hilltown Cooperative Charter Public (District)	04500000	ELA	          92	60	          10	6	          82	53	          55	36	           7	5	         154	     504.0	          53.6	         126
Hilltown Cooperative Charter Public (District)	04500000	MATH	          87	56	          12	8	          75	48	          59	38	          10	6	         156	     501.6	          49.6	         127
Hingham	01310000	ELA	       1,614	78	         487	24	       1,127	54	         407	20	          47	2	       2,068	     515.8	          56.9	       1,691
Hingham	01310000	MATH	       1,528	74	         263	13	       1,265	61	         496	24	          44	2	       2,068	     510.8	          49.5	       1,691
Holbrook	01330000	ELA	         283	47	          58	10	         225	37	         252	41	          73	12	         608	     499.6	          49.1	         476
Holbrook	01330000	MATH	         281	46	          22	4	         259	43	         264	43	          64	11	         609	     497.5	          45.6	         476
Holland	01350000	ELA	          63	50	           6	5	          57	46	          59	47	           3	2	         125	     501.9	          54.3	          90
Holland	01350000	MATH	          61	49	           5	4	          56	45	          56	45	           8	6	         125	     499.8	          58.5	          90
Holliston	01360000	ELA	         865	63	         159	12	         706	51	         432	32	          74	5	       1,371	     507.1	          46.8	       1,087
Holliston	01360000	MATH	         821	60	         130	9	         691	50	         449	33	         102	7	       1,372	     504.3	          46.9	       1,087
Holyoke	01370000	ELA	         361	16	          26	1	         335	15	       1,034	47	         811	37	       2,206	     479.8	          42.0	       1,516
Holyoke	01370000	MATH	         227	10	           5	0	         222	10	       1,044	47	         930	42	       2,201	     475.0	          40.7	       1,524
Holyoke Community Charter (District)	04530000	ELA	         159	36	          10	2	         149	34	         240	54	          44	10	         443	     493.8	          54.9	         331
Holyoke Community Charter (District)	04530000	MATH	          99	22	           7	2	          92	21	         272	61	          72	16	         443	     487.6	          52.7	         331
Hoosac Valley Regional	06030000	ELA	         243	40	          16	3	         227	37	         290	48	          77	13	         610	     493.9	          51.7	         472
Hoosac Valley Regional	06030000	MATH	         145	24	           5	1	         140	23	         346	57	         118	19	         609	     486.6	          41.2	         472
Hopedale	01380000	ELA	         331	65	          58	11	         273	54	         148	29	          27	5	         506	     507.8	          49.8	         414
Hopedale	01380000	MATH	         327	64	          59	12	         268	53	         154	30	          27	5	         508	     506.9	          55.7	         415
Hopkinton	01390000	ELA	       1,272	78	         331	20	         941	58	         325	20	          38	2	       1,635	     514.7	          52.8	       1,279
Hopkinton	01390000	MATH	       1,271	78	         366	22	         905	55	         320	20	          45	3	       1,636	     515.0	          61.0	       1,276
Hudson	01410000	ELA	         657	52	         116	9	         541	43	         462	37	         141	11	       1,260	     501.0	          53.6	       1,015
Hudson	01410000	MATH	         628	50	          78	6	         550	44	         510	40	         124	10	       1,262	     499.1	          50.6	       1,016
Hull	01420000	ELA	         211	55	          33	9	         178	47	         140	37	          31	8	         382	     502.7	          44.0	         297
Hull	01420000	MATH	         198	52	          23	6	         175	46	         148	39	          37	10	         383	     499.9	          42.4	         296
Innovation Academy Charter (District)	04350000	ELA	         226	57	          39	10	         187	47	         153	39	          18	5	         397	     503.6	          51.6	         380
Innovation Academy Charter (District)	04350000	MATH	         211	53	          22	6	         189	48	         167	42	          19	5	         397	     501.5	          48.4	         380
Ipswich	01440000	ELA	         561	69	         164	20	         397	49	         196	24	          55	7	         812	     510.7	          58.2	         658
Ipswich	01440000	MATH	         514	63	          89	11	         425	52	         267	33	          36	4	         817	     506.4	          54.6	         662
KIPP Academy Boston Charter School (District)	04630000	ELA	         118	34	          15	4	         103	30	         191	56	          34	10	         343	     495.8	          62.4	         243
KIPP Academy Boston Charter School (District)	04630000	MATH	         111	32	          17	5	          94	27	         185	54	          48	14	         344	     492.9	          60.9	         243
KIPP Academy Lynn Charter (District)	04290000	ELA	         197	41	          24	5	         173	36	         220	45	          68	14	         485	     495.2	          46.0	         451
KIPP Academy Lynn Charter (District)	04290000	MATH	         212	44	          24	5	         188	39	         226	47	          46	10	         484	     497.0	          54.3	         451
King Philip	06900000	ELA	         478	64	          58	8	         420	56	         220	29	          49	7	         747	     504.8	          43.5	         710
King Philip	06900000	MATH	         438	59	          46	6	         392	52	         275	37	          34	5	         747	     503.2	          38.0	         714
Kingston	01450000	ELA	         317	55	          47	8	         270	47	         227	40	          30	5	         574	     503.8	          51.9	         412
Kingston	01450000	MATH	         307	54	          34	6	         273	48	         226	40	          39	7	         572	     501.7	          50.5	         411
Lanesborough (non-op)	01480000	ELA	          72	61	          12	10	          60	50	          42	35	           5	4	         119	     505.9	          57.8	          89
Lanesborough (non-op)	01480000	MATH	          61	51	          11	9	          50	42	          53	45	           5	4	         119	     500.7	          66.2	          89
Lawrence	01490000	ELA	       1,795	28	         155	2	       1,640	26	       2,958	47	       1,598	25	       6,351	     486.9	          46.6	       4,573
Lawrence	01490000	MATH	       1,867	29	         179	3	       1,688	27	       3,006	47	       1,473	23	       6,346	     487.9	          45.1	       4,577
Lawrence Family Development Charter (District)	04540000	ELA	         254	64	          39	10	         215	54	         129	33	          13	3	         396	     506.2	          49.8	         310
Lawrence Family Development Charter (District)	04540000	MATH	         234	59	          29	7	         205	52	         137	35	          26	7	         397	     503.2	          50.4	         311
Learning First Charter Public School (District)	04860000	ELA	         105	24	           8	2	          97	23	         242	56	          83	19	         430	     487.5	          52.8	         338
Learning First Charter Public School (District)	04860000	MATH	          77	18	           4	1	          73	17	         242	56	         111	26	         430	     482.8	          54.6	         336
Lee	01500000	ELA	         143	51	          20	7	         123	44	         115	41	          21	8	         279	     501.0	          57.4	         214
Lee	01500000	MATH	         139	50	          12	4	         127	46	         112	40	          26	9	         277	     498.0	          50.9	         213
Leicester	01510000	ELA	         276	36	          30	4	         246	32	         384	51	          98	13	         758	     493.8	          49.8	         617
Leicester	01510000	MATH	         267	35	          25	3	         242	32	         399	53	          92	12	         758	     493.4	          54.6	         619
Lenox	01520000	ELA	         226	66	          55	16	         171	50	         112	32	           7	2	         345	     510.1	          57.1	         272
Lenox	01520000	MATH	         227	66	          43	13	         184	54	         104	30	          12	3	         343	     508.5	          53.2	         273
Leominster	01530000	ELA	       1,203	43	         119	4	       1,084	39	       1,245	45	         347	12	       2,795	     496.4	          45.2	       2,098
Leominster	01530000	MATH	       1,301	46	         167	6	       1,134	40	       1,169	42	         333	12	       2,803	     497.7	          49.7	       2,099
Leverett	01540000	ELA	          50	74	          12	18	          38	56	          15	22	           3	4	          68	     510.8	          63.6	          46
Leverett	01540000	MATH	          47	69	           7	10	          40	59	          18	26	           3	4	          68	     508.3	          59.8	          46
Lexington	01550000	ELA	       2,829	80	       1,060	30	       1,769	50	         608	17	          90	3	       3,527	     518.8	          61.4	       2,720
Lexington	01550000	MATH	       2,876	81	       1,089	31	       1,787	51	         540	15	         113	3	       3,529	     518.6	          59.9	       2,725
Libertas Academy Charter School (District)	35140000	ELA	           9	10	           0	0	           9	10	          51	59	          27	31	          87	     480.2	          30.0	          73
Libertas Academy Charter School (District)	35140000	MATH	          21	24	           0	0	          21	24	          50	57	          16	18	          87	     485.6	          43.2	          73
Lincoln	01570000	ELA	         413	57	          89	12	         324	45	         283	39	          27	4	         723	     505.6	          53.1	         488
Lincoln	01570000	MATH	         423	59	          72	10	         351	49	         254	35	          43	6	         720	     504.6	          50.5	         484
Littleton	01580000	ELA	         519	68	         113	15	         406	53	         216	28	          27	4	         762	     509.2	          59.0	         592
Littleton	01580000	MATH	         463	61	          69	9	         394	52	         266	35	          34	4	         763	     504.9	          52.1	         590
Longmeadow	01590000	ELA	         946	71	         216	16	         730	55	         337	25	          41	3	       1,324	     511.6	          54.7	       1,067
Longmeadow	01590000	MATH	         909	69	         195	15	         714	54	         364	27	          52	4	       1,325	     508.9	          51.2	       1,067
Lowell	01600000	ELA	       2,539	36	         394	6	       2,145	31	       3,127	45	       1,305	19	       6,971	     492.9	          46.1	       5,053
Lowell	01600000	MATH	       2,491	36	         269	4	       2,222	32	       3,263	47	       1,219	17	       6,973	     492.4	          48.8	       5,054
Lowell Community Charter Public (District)	04560000	ELA	         254	53	          43	9	         211	44	         196	41	          33	7	         483	     501.7	          51.1	         385
Lowell Community Charter Public (District)	04560000	MATH	         263	54	          40	8	         223	46	         194	40	          26	5	         483	     502.3	          53.9	         385
Ludlow	01610000	ELA	         424	36	          25	2	         399	34	         609	51	         156	13	       1,189	     492.4	          48.9	         969
Ludlow	01610000	MATH	         456	38	          43	4	         413	35	         577	49	         152	13	       1,185	     493.8	          51.9	         965
Lunenburg	01620000	ELA	         398	50	          53	7	         345	44	         346	44	          46	6	         790	     500.4	          47.6	         644
Lunenburg	01620000	MATH	         419	53	          35	4	         384	49	         320	41	          49	6	         788	     501.0	          54.2	         644
Lynn	01630000	ELA	       2,384	34	         215	3	       2,169	31	       3,479	49	       1,225	17	       7,088	     492.2	          47.2	       5,088
Lynn	01630000	MATH	       2,110	30	         145	2	       1,965	28	       3,726	53	       1,258	18	       7,094	     490.5	          47.0	       5,094
Lynnfield	01640000	ELA	         731	71	         181	18	         550	54	         264	26	          28	3	       1,023	     511.8	          49.3	         820
Lynnfield	01640000	MATH	         771	76	         164	16	         607	59	         233	23	          17	2	       1,021	     512.1	          51.5	         819
Malden	01650000	ELA	       1,390	48	         232	8	       1,158	40	       1,125	39	         392	13	       2,907	     498.4	          55.5	       2,139
Malden	01650000	MATH	       1,210	42	         161	6	       1,049	36	       1,260	43	         440	15	       2,910	     494.8	          53.3	       2,150
Manchester Essex Regional	06980000	ELA	         507	72	         113	16	         394	56	         175	25	          20	3	         702	     510.7	          56.5	         584
Manchester Essex Regional	06980000	MATH	         468	66	          68	10	         400	57	         205	29	          32	5	         705	     506.2	          48.5	         587
Mansfield	01670000	ELA	       1,041	60	         145	8	         896	52	         594	34	          97	6	       1,732	     504.5	          49.8	       1,421
Mansfield	01670000	MATH	       1,019	59	         141	8	         878	51	         624	36	          92	5	       1,735	     503.3	          44.8	       1,421
Marblehead	01680000	ELA	         961	69	         183	13	         778	56	         378	27	          56	4	       1,395	     509.2	          54.4	       1,092
Marblehead	01680000	MATH	         890	64	         127	9	         763	55	         431	31	          75	5	       1,396	     505.2	          56.4	       1,089
Marblehead Community Charter Public (District)	04640000	ELA	         132	58	          15	7	         117	51	          89	39	           8	3	         229	     503.1	          43.0	         204
Marblehead Community Charter Public (District)	04640000	MATH	         137	60	          13	6	         124	54	          80	35	          11	5	         228	     502.9	          51.5	         204
Marion	01690000	ELA	         169	68	          34	14	         135	54	          73	29	           7	3	         249	     509.1	          49.6	         183
Marion	01690000	MATH	         156	63	          30	12	         126	51	          83	33	          10	4	         249	     507.3	          49.1	         184
Marlborough	01700000	ELA	         833	40	         128	6	         705	34	         920	44	         347	17	       2,100	     493.8	          50.9	       1,519
Marlborough	01700000	MATH	         777	37	         105	5	         672	32	         975	47	         343	16	       2,095	     492.8	          53.8	       1,514
Marshfield	01710000	ELA	       1,303	69	         301	16	       1,002	53	         530	28	          48	3	       1,881	     510.3	          52.9	       1,560
Marshfield	01710000	MATH	       1,214	65	         163	9	       1,051	56	         588	31	          77	4	       1,879	     506.0	          51.2	       1,551
Martha's Vineyard Charter Public School (District)	04660000	ELA	          42	43	           7	7	          35	36	          49	51	           6	6	          97	     498.9	          56.4	          77
Martha's Vineyard Charter Public School (District)	04660000	MATH	          29	29	           0	0	          29	29	          57	57	          14	14	         100	     490.0	          42.3	          80
Martin Luther King, Jr. Charter School of Excellence (District)	04920000	ELA	          83	47	           6	3	          77	44	          87	50	           5	3	         175	     498.9	          50.7	         114
Martin Luther King, Jr. Charter School of Excellence (District)	04920000	MATH	         108	62	          18	10	          90	51	          64	37	           3	2	         175	     505.0	          67.8	         113
Masconomet	07050000	ELA	         465	71	         114	17	         351	54	         162	25	          25	4	         652	     511.0	          59.9	         626
Masconomet	07050000	MATH	         470	72	          79	12	         391	60	         155	24	          28	4	         653	     510.1	          53.2	         624
Mashpee	01720000	ELA	         398	52	          60	8	         338	44	         312	41	          57	7	         767	     501.3	          54.8	         609
Mashpee	01720000	MATH	         367	48	          35	5	         332	43	         330	43	          69	9	         766	     498.5	          49.0	         606
Match Charter Public School (District)	04690000	ELA	         234	43	          27	5	         207	38	         247	45	          66	12	         547	     495.8	          57.9	         417
Match Charter Public School (District)	04690000	MATH	         216	39	          11	2	         205	37	         275	50	          61	11	         552	     493.9	          48.5	         421
Mattapoisett	01730000	ELA	         191	74	          36	14	         155	60	          57	22	          10	4	         258	     511.5	          59.5	         191
Mattapoisett	01730000	MATH	         168	65	          30	12	         138	53	          80	31	          10	4	         258	     507.9	          60.8	         193
Maynard	01740000	ELA	         275	45	          18	3	         257	42	         277	45	          65	11	         617	     496.0	          41.8	         490
Maynard	01740000	MATH	         250	40	          23	4	         227	36	         295	47	          80	13	         625	     494.6	          48.1	         500
Medfield	01750000	ELA	         806	69	         132	11	         674	57	         337	29	          32	3	       1,175	     508.5	          46.5	         966
Medfield	01750000	MATH	         841	72	         163	14	         678	58	         306	26	          29	2	       1,176	     510.0	          52.5	         965
Medford	01760000	ELA	         924	49	         141	7	         783	41	         754	40	         216	11	       1,894	     499.2	          51.6	       1,437
Medford	01760000	MATH	         752	40	          90	5	         662	35	         875	46	         265	14	       1,892	     494.2	          53.7	       1,433
Medway	01770000	ELA	         690	66	         142	13	         548	52	         330	31	          33	3	       1,053	     508.7	          52.4	         866
Medway	01770000	MATH	         686	65	         106	10	         580	55	         323	31	          43	4	       1,052	     506.6	          50.7	         865
Melrose	01780000	ELA	       1,135	70	         263	16	         872	54	         411	25	          66	4	       1,612	     510.5	          53.4	       1,261
Melrose	01780000	MATH	       1,039	64	         180	11	         859	53	         505	31	          67	4	       1,611	     506.4	          45.8	       1,259
Mendon-Upton	07100000	ELA	         648	57	          96	8	         552	49	         408	36	          80	7	       1,136	     503.7	          38.9	         939
Mendon-Upton	07100000	MATH	         605	53	          78	7	         527	46	         452	40	          77	7	       1,134	     501.8	          40.8	         936
Methuen	01810000	ELA	       1,505	45	         234	7	       1,271	38	       1,435	43	         436	13	       3,376	     497.4	          49.5	       2,609
Methuen	01810000	MATH	       1,342	40	         161	5	       1,181	35	       1,556	46	         477	14	       3,375	     495.2	          44.4	       2,610
Middleborough	01820000	ELA	         717	47	         101	7	         616	41	         652	43	         150	10	       1,519	     499.2	          51.7	       1,220
Middleborough	01820000	MATH	         729	48	          94	6	         635	42	         648	43	         141	9	       1,518	     499.3	          52.8	       1,217
Middleton	01840000	ELA	         253	66	          49	13	         204	53	         117	30	          14	4	         384	     508.5	          52.1	         286
Middleton	01840000	MATH	         234	61	          43	11	         191	50	         132	34	          17	4	         383	     506.2	          51.1	         285
Milford	01850000	ELA	         930	48	         126	7	         804	42	         794	41	         213	11	       1,937	     498.7	          50.5	       1,480
Milford	01850000	MATH	         784	40	          62	3	         722	37	         924	48	         232	12	       1,940	     494.7	          47.7	       1,478
Millbury	01860000	ELA	         399	47	          47	5	         352	41	         366	43	          90	11	         855	     498.3	          45.9	         679
Millbury	01860000	MATH	         372	44	          19	2	         353	41	         404	47	          78	9	         854	     496.1	          48.7	         680
Millis	01870000	ELA	         356	61	          61	10	         295	50	         211	36	          21	4	         588	     505.8	          58.3	         464
Millis	01870000	MATH	         355	60	          61	10	         294	50	         211	36	          24	4	         590	     504.8	          56.2	         468
Milton	01890000	ELA	       1,286	65	         262	13	       1,024	51	         610	31	          95	5	       1,991	     507.7	          48.5	       1,551
Milton	01890000	MATH	       1,339	67	         245	12	       1,094	55	         567	28	          85	4	       1,991	     507.8	          51.9	       1,549
Mohawk Trail	07170000	ELA	         173	47	          23	6	         150	41	         163	44	          31	8	         367	     498.6	          45.6	         273
Mohawk Trail	07170000	MATH	         144	39	          13	4	         131	36	         192	52	          33	9	         369	     494.9	          42.2	         275
Monomoy Regional School District	07120000	ELA	         492	55	          73	8	         419	46	         347	38	          63	7	         902	     502.2	          53.2	         689
Monomoy Regional School District	07120000	MATH	         446	50	          41	5	         405	45	         378	42	          76	8	         900	     499.7	          59.3	         690
Monson	01910000	ELA	         207	50	          40	10	         167	40	         178	43	          31	7	         416	     501.5	          50.4	         322
Monson	01910000	MATH	         183	44	          14	3	         169	41	         189	45	          45	11	         417	     497.2	          54.0	         323
Mount Greylock	07150000	ELA	         136	75	          61	34	          75	41	          42	23	           4	2	         182	     518.9	          62.5	         168
Mount Greylock	07150000	MATH	         114	64	          17	9	          97	54	          58	32	           7	4	         179	     506.1	          36.7	         166
Mystic Valley Regional Charter (District)	04700000	ELA	         476	61	          63	8	         413	53	         299	38	           7	1	         782	     505.8	          50.9	         631
Mystic Valley Regional Charter (District)	04700000	MATH	         436	56	          57	7	         379	48	         325	42	          21	3	         782	     503.4	          46.8	         631
Nahant	01960000	ELA	          40	55	           5	7	          35	48	          32	44	           1	1	          73	     504.9	          37.5	          52
Nahant	01960000	MATH	          38	53	           2	3	          36	50	          30	42	           4	6	          72	     497.7	          44.4	          51
Nantucket	01970000	ELA	         295	41	          51	7	         244	34	         329	46	          89	12	         713	     496.1	          60.3	         535
Nantucket	01970000	MATH	         219	31	          17	2	         202	28	         380	53	         114	16	         713	     490.5	          50.9	         533
Narragansett	07200000	ELA	         290	41	          22	3	         268	38	         325	46	          84	12	         699	     495.6	          49.1	         542
Narragansett	07200000	MATH	         267	38	          14	2	         253	36	         335	48	          95	14	         697	     493.5	          47.9	         540
Nashoba	07250000	ELA	       1,147	73	         255	16	         892	57	         351	22	          64	4	       1,562	     512.2	          56.1	       1,238
Nashoba	07250000	MATH	       1,131	72	         222	14	         909	58	         374	24	          58	4	       1,563	     510.4	          55.0	       1,240
Natick	01980000	ELA	       1,592	64	         311	12	       1,281	51	         747	30	         152	6	       2,491	     506.7	          52.9	       1,964
Natick	01980000	MATH	       1,593	64	         319	13	       1,274	51	         737	30	         162	7	       2,492	     506.7	          57.5	       1,966
Nauset	06600000	ELA	         336	61	          62	11	         274	49	         178	32	          41	7	         555	     505.2	          48.6	         509
Nauset	06600000	MATH	         315	57	          26	5	         289	52	         209	38	          32	6	         556	     502.2	          50.2	         509
Needham	01990000	ELA	       2,000	76	         573	22	       1,427	54	         592	22	          54	2	       2,646	     514.6	          60.4	       2,120
Needham	01990000	MATH	       1,904	72	         465	18	       1,439	54	         664	25	          76	3	       2,644	     511.4	          56.5	       2,126
Neighborhood House Charter (District)	04440000	ELA	         170	50	          32	9	         138	41	         134	40	          33	10	         337	     501.4	          53.1	         257
Neighborhood House Charter (District)	04440000	MATH	         103	31	           6	2	          97	29	         184	55	          50	15	         337	     491.3	          46.9	         257
New Bedford	02010000	ELA	       2,114	33	         211	3	       1,903	30	       2,992	47	       1,244	20	       6,350	     490.5	          45.2	       4,528
New Bedford	02010000	MATH	       1,935	30	         200	3	       1,735	27	       3,069	48	       1,365	21	       6,369	     488.9	          42.4	       4,529
New Heights Charter School of Brockton (District)	35130000	ELA	         102	32	           3	1	          99	31	         158	49	          60	19	         320	     489.2	          50.9	         277
New Heights Charter School of Brockton (District)	35130000	MATH	          68	21	           3	1	          65	20	         183	58	          67	21	         318	     484.7	          46.8	         275
New Salem-Wendell	07280000	ELA	          38	51	           8	11	          30	41	          29	39	           7	9	          74	     500.5	          56.4	          55
New Salem-Wendell	07280000	MATH	          29	39	           1	1	          28	38	          38	51	           7	9	          74	     494.9	          59.5	          55
Newburyport	02040000	ELA	         607	59	          66	6	         541	53	         360	35	          54	5	       1,021	     503.9	          50.2	         841
Newburyport	02040000	MATH	         537	53	          59	6	         478	47	         409	40	          72	7	       1,018	     501.2	          48.9	         836
Newton	02070000	ELA	       4,097	70	         942	16	       3,155	54	       1,476	25	         270	5	       5,843	     510.3	          53.4	       4,475
Newton	02070000	MATH	       4,167	71	       1,036	18	       3,131	54	       1,399	24	         284	5	       5,850	     510.7	          57.4	       4,476
Norfolk	02080000	ELA	         321	66	          44	9	         277	57	         158	32	           8	2	         487	     507.3	          47.4	         362
Norfolk	02080000	MATH	         356	73	          52	11	         304	62	         114	23	          17	3	         487	     509.4	          59.9	         364
North Adams	02090000	ELA	         241	37	          26	4	         215	33	         315	48	          99	15	         655	     492.5	          44.0	         511
North Adams	02090000	MATH	         171	26	          17	3	         154	23	         374	57	         111	17	         656	     488.5	          39.8	         514
North Andover	02110000	ELA	       1,330	60	         257	12	       1,073	49	         734	33	         142	6	       2,206	     505.7	          50.3	       1,723
North Andover	02110000	MATH	       1,320	60	         281	13	       1,039	47	         749	34	         138	6	       2,207	     506.0	          54.3	       1,721
North Attleborough	02120000	ELA	       1,297	62	         216	10	       1,081	52	         665	32	         129	6	       2,091	     505.9	          52.5	       1,703
North Attleborough	02120000	MATH	       1,224	59	         147	7	       1,077	52	         730	35	         136	7	       2,090	     503.4	          52.4	       1,701
North Brookfield	02150000	ELA	          87	31	           2	1	          85	30	         152	54	          42	15	         281	     490.9	          42.3	         223
North Brookfield	02150000	MATH	          73	26	           3	1	          70	25	         168	60	          39	14	         280	     489.5	          47.0	         222
North Middlesex	07350000	ELA	         903	59	         164	11	         739	49	         537	35	          81	5	       1,521	     505.4	          55.6	       1,224
